Platos,Cosas,Preparación,User_Rating
Beer,"['which', 'who', 'better']",25,3.5386508645666166
Chicha23,"['enter', 'something', 'throughout']",68,2.3292499171237555
Chicheme1,"['color', 'discuss', 'program']",99,3.8458239702355193
Coffee,"['wind', 'else', 'positive']",51,4.078114849939306
"Fresh fruit juices (licuados or jugos naturales) â€“ pineapple, passionfruit, papaya, orange, tree tomato, etc. are prepared by blending fresh fruit and straining; typically heavily sweetened and optionally with condensed milk added","['different', 'more', 'month']",69,3.660241944893173
Malteada â€“ a malted eskimo-like milkshake without ice cream,"['yes', 'main', 'try']",42,1.3519633647789506
Resbaladera,"['marriage', 'security', 'air']",67,2.1380970488053648
Ron ponche24,"['baby', 'exist', 'most']",84,1.7686469178224677
"Saril â€“ a drink containing sorrel sepals, ginger, cinnamon, cloves, sugar, water, and a splash of rum)","['allow', 'south', 'actually']",83,2.135238506609003
Seco Herrerano25,"['war', 'lot', 'wear']",20,4.328942410768224
Achiote â€“ common in Panamanian cuisine13,"['run', 'improve', 'remember']",118,2.4818010638286028
Aji chombo â€“ a hot pepper grown in local regions13,"['shoulder', 'federal', 'by']",64,4.513843759017792
